track,order,tempo_bpm,beats,onset_env_mean,mfcc_mean,mfcc_std,mfcc_max,centroid_mean,centroid_std,centroid_max,bandwidth_mean,bandwidth_std,bandwidth_max,rms_mean,rms_std,rms_max
Ashes of Our Forever.wav,1,184.5703125,88,0.9138766527175903,5.183306694030762,44.113502502441406,142.66876220703125,1044.8189115495454,350.7751697791556,2161.626914604616,1192.7194539968775,186.85151005707465,1658.9265639369216,0.3171214461326599,0.08254322409629822,0.5155137181282043
AvengHer.wav,2,129.19921875,61,0.8377296328544617,4.177463054656982,41.44510269165039,153.15560913085938,1501.7223887282269,471.40428709590043,2478.301683258952,1419.652012143288,188.743696148036,1733.6201911856251,0.3041199743747711,0.05389805883169174,0.4555607736110687
Cages.wav,3,107.666015625,50,0.7847546339035034,3.4585537910461426,25.410886764526367,92.92806243896484,1749.9236083424364,353.9036183754514,2714.3862917825354,1549.0941874689913,127.2287643750313,1887.405991982316,0.2397185117006302,0.057027991861104965,0.3709498941898346
Gerrymandering Game.wav,4,129.19921875,61,1.3859413862228394,2.540703296661377,59.275001525878906,168.83685302734375,1123.5210615883807,496.29145740852323,2324.361208219093,1368.0770205365054,265.95225593246755,1828.2073521719747,0.33623918890953064,0.12718692421913147,0.5959904193878174
In The Beginning.wav,5,103.359375,50,1.2206199169158936,3.362386703491211,49.69031524658203,162.34481811523438,996.9958661081552,310.7125562349902,2457.1642785139275,1183.0040539639108,185.54137284185606,1811.919245879893,0.2405043989419937,0.07342571765184402,0.42419660091400146
Michele with one L.wav,6,86.1328125,42,0.8290741443634033,5.472236156463623,37.3669548034668,112.39244079589844,1314.0354425972723,351.6648357137667,2486.527797130495,1402.1363599110912,148.6487589305098,1829.0385458326973,0.30851924419403076,0.10016945749521255,0.5179842114448547
New Heroes.wav,7,161.4990234375,80,0.903403639793396,1.5751252174377441,54.03959655761719,150.03317260742188,1045.2251154222442,383.7764256593799,2859.9057167290885,1314.4462033105704,225.47019214479985,1975.3098623368144,0.21601301431655884,0.09167048335075378,0.48633456230163574
Ruler Rebel [X. aTunde Adjuah Remix].wav,8,80.74951171875,39,0.8970404863357544,6.161454677581787,48.84039306640625,132.246337890625,974.7491288402658,342.6602460863475,2357.7606567149337,1139.4613242368252,199.05175670171744,1888.6244047858165,0.2849648892879486,0.07404396682977676,0.4969278872013092
The Cypher.wav,9,103.359375,51,0.8843657970428467,2.4321787357330322,48.99761199951172,136.33038330078125,1107.1321903386327,470.20922257939895,2486.9974681571375,1176.9232025449232,271.8673751764056,1837.2676387341103,0.25555312633514404,0.1319568157196045,0.6143926978111267
The Emancipation Procrastination.wav,10,95.703125,47,0.8488498330116272,4.463164806365967,51.47880554199219,158.37228393554688,961.3661569509826,370.6820363792917,2289.406803722822,1237.70078222722,231.50760651270917,1870.6789787423195,0.29991862177848816,0.09589120745658875,0.5779252052307129
Unrigging November.wav,11,151.99908088235293,74,1.005174994468689,2.739333391189575,39.058372497558594,124.96143341064453,1355.8441903924638,399.4340268091206,2213.3308821973496,1447.1497602868244,166.0463678372574,1845.64454662089,0.22813725471496582,0.10221128165721893,0.5479025840759277
Videotape.wav,12,89.10290948275862,43,0.6592040061950684,0.8707649111747742,29.183401107788086,89.42256927490234,2010.267686622564,387.7479430211293,3049.452679948749,1665.932321056494,117.68959289883237,1935.141980217681,0.19568420946598053,0.06107379496097565,0.4491629898548126
